,,Performance,Performance,Performance,Performance,Performance,Performance
Player,Squad,CrdY,CrdR,Fls,Off,OG,Recov
Andre Gray\Andre-Gray,Watford,2,0,12,16,0,49
Demarai Gray\Demarai-Gray,Leicester City,2,0,15,3,0,137
Mason Greenwood\Mason-Greenwood,Manchester Utd,0,0,0,2,0,9
Pascal Groß\Pascal-Gross,Brighton,1,0,12,5,0,151
Vicente Guaita\Vicente-Guaita,Crystal Palace,2,0,1,0,0,99
Mattéo Guendouzi\Matteo-Guendouzi,Arsenal,9,0,25,0,0,272
?lkay Gündo?an\Ilkay-Gundogan,Manchester City,3,0,14,0,0,239
Angus Gunn\Angus-Gunn,Southampton,0,0,0,0,0,44
Aron Gunnarsson\Aron-Gunnarsson,Cardiff City,5,0,27,0,0,348
Florent Hadergjonaj\Florent-Hadergjonaj,Huddersfield,1,0,12,2,0,183
Ben Hamer\Ben-Hamer,Huddersfield,0,0,0,0,0,38
Kadeem Harris\Kadeem-Harris,Cardiff City,1,0,4,1,0,24
Joe Hart\Joe-Hart,Burnley,0,0,0,0,0,96
Isaac Hayden\Isaac-Hayden,Newcastle Utd,3,1,32,0,0,225
Eden Hazard\Eden-Hazard,Chelsea,2,0,12,11,0,173
Rhys Healey\Rhys-Healey,Cardiff City,0,0,1,0,0,2
Tom Heaton\Tom-Heaton,Burnley,3,0,1,0,0,87
Jordan Henderson\Jordan-Henderson,Liverpool,2,1,26,2,0,278
Jeff Hendrick\Jeff-Hendrick,Burnley,4,0,18,9,0,185
Wayne Hennessey\Wayne-Hennessey,Crystal Palace,0,0,0,0,0,86
Javier Hernández\Javier-Hernandez,West Ham,2,0,9,12,0,46
Ander Herrera\Ander-Herrera,Manchester Utd,4,0,21,0,0,156
Son Heung-min\Son-Heung-min,Tottenham,2,1,11,22,0,129
Gonzalo Higuaín\Gonzalo-Higuain,Chelsea,0,0,6,11,0,39
Wesley Hoedt\Wesley-Hoedt,Southampton,2,0,15,0,2,170
Jonathan Hogg\Jonathan-Hogg,Huddersfield,8,1,58,1,0,452
Junior Hoilett\Junior-Hoilett,Cardiff City,4,0,35,8,0,189
Rob Holding\Rob-Holding,Arsenal,1,0,6,0,0,93
José Holebas\Jose-Holebas,Watford,12,1,34,2,0,293
Mason Holgate\Mason-Holgate,Everton,1,0,2,1,0,65
Callum Hudson-Odoi\Callum-Hudson-Odoi,Chelsea,0,0,1,3,0,22
Will Hughes\Will-Hughes,Watford,5,0,54,0,0,254
Emerson Hyndman\Emerson-Hyndman,Bournemouth,0,0,0,0,0,3
Pierre Højbjerg\Pierre-Hojbjerg,Southampton,8,2,50,0,0,441
Jordon Ibe\Jordon-Ibe,Bournemouth,1,0,8,0,0,59
Vicente Iborra\Vicente-Iborra,Leicester City,0,0,6,0,0,28
Kelechi Iheanacho\Kelechi-Iheanacho,Leicester City,2,0,14,8,0,51
Danny Ings\Danny-Ings,Southampton,1,0,16,6,0,82
Alex Iwobi\Alex-Iwobi,Arsenal,0,0,8,2,0,126
José Izquierdo\Jose-Izquierdo,Brighton,1,0,6,4,0,68
Phil Jagielka\Phil-Jagielka,Everton,0,1,2,0,0,45
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,Brighton,2,0,19,6,0,87
Daryl Janmaat\Daryl-Janmaat,Watford,3,0,16,1,0,196
Vincent Janssen\Vincent-Janssen,Tottenham,0,0,2,1,0,2
Carl Jenkinson\Carl-Jenkinson,Arsenal,0,0,1,0,0,12
Gabriel Jesus\Gabriel-Jesus,Manchester City,1,0,12,15,0,57
Raúl Jiménez\Raul-Jimenez,Wolves,4,0,41,33,0,194
Stefan Johansen\Stefan-Johansen,Fulham,4,0,6,0,0,53
Ben Johnson\Ben-Johnson,West Ham,0,0,0,0,0,1
Tyreke Johnson\Tyreke-Johnson,Southampton,0,0,0,0,0,0
Phil Jones\Phil-Jones,Manchester Utd,1,0,8,0,0,154
Jorginho\Jorginho,Chelsea,8,0,33,0,0,426
Joselu\Joselu,Newcastle Utd,1,0,5,4,0,35
Diogo Jota\Diogo-Jota,Wolves,11,0,42,6,0,167
Mathias Jørgensen\Mathias-Jorgensen,Huddersfield,6,0,33,0,0,287
Christian Kabasele\Christian-Kabasele,Watford,4,1,23,0,0,175
Elias Kachunga\Elias-Kachunga,Huddersfield,2,0,24,9,0,74
Aboubakar Kamara\Aboubakar-Kamara,Fulham,2,0,24,7,0,57
Harry Kane\Harry-Kane,Tottenham,5,0,31,10,0,88
N'Golo Kanté\NGolo-Kante,Chelsea,3,0,35,6,0,356
Beram Kayal\Beram-Kayal,Brighton,4,0,18,0,0,98
Michael Keane\Michael-Keane,Everton,2,0,23,0,0,416
Neeskens Kebano\Neeskens-Kebano,Fulham,0,0,0,0,0,6
Naby Keïta\Naby-Keita,Liverpool,0,0,24,0,0,142
Martin Kelly\Martin-Kelly,Crystal Palace,2,0,6,0,1,85
Kenedy\Kenedy,Newcastle Utd,1,0,18,5,0,164
Jonjoe Kenny\Jonjoe-Kenny,Everton,1,0,10,0,0,108
Max Kilman\Max-Kilman,Wolves,0,0,0,0,0,0
Joshua King\Joshua-King,Bournemouth,3,0,52,7,0,194
Anthony Knockaert\Anthony-Knockaert,Brighton,4,1,23,3,0,154
Sead Kolašinac\Sead-Kolasinac,Arsenal,5,0,21,11,1,186
Vincent Kompany\Vincent-Kompany,Manchester City,6,0,17,1,0,143
Terence Kongolo\Terence-Kongolo,Huddersfield,4,0,20,2,1,246
Laurent Koscielny\Laurent-Koscielny,Arsenal,1,0,11,0,0,140
Cheikhou Kouyaté\Cheikhou-Kouyate,Crystal Palace,3,0,35,4,0,241
Mateo Kova?i?\Mateo-Kovacic,Chelsea,3,0,19,0,0,142
Rajiv van La Parra\Rajiv-van-La-Parra,Huddersfield,0,0,4,0,0,27
Alexandre Lacazette\Alexandre-Lacazette,Arsenal,2,0,51,24,0,104
Adam Lallana\Adam-Lallana,Liverpool,1,0,4,0,0,39
Érik Lamela\Erik-Lamela,Tottenham,2,0,23,1,0,76
Manuel Lanzini\Manuel-Lanzini,West Ham,2,0,5,0,0,50
Aymeric Laporte\Aymeric-Laporte,Manchester City,3,0,22,2,0,352
Jamaal Lascelles\Jamaal-Lascelles,Newcastle Utd,4,0,16,1,0,375
Maxime Le Marchand\Maxime-Le-Marchand,Fulham,5,0,28,3,0,300
Florian Lejeune\Florian-Lejeune,Newcastle Utd,0,0,11,0,0,140
Mario Lemina\Mario-Lemina,Southampton,5,0,31,1,0,192
Aaron Lennon\Aaron-Lennon,Burnley,1,0,12,0,0,70
Bernd Leno\Bernd-Leno,Arsenal,0,0,0,0,0,166
Jefferson Lerma\Jefferson-Lerma,Bournemouth,12,0,44,3,1,423
Stephan Lichtsteiner\Stephan-Lichtsteiner,Arsenal,3,0,11,2,0,93
Victor Lindelöf\Victor-Lindelof,Manchester Utd,1,0,20,0,1,296
Jesse Lingard\Jesse-Lingard,Manchester Utd,3,0,27,7,0,101
Fernando Llorente\Fernando-Llorente,Tottenham,2,0,12,5,1,31
Hugo Lloris\Hugo-Lloris,Tottenham,0,0,0,0,0,158
Jürgen Locadia\Jurgen-Locadia,Brighton,1,0,22,11,0,90
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,Chelsea,0,0,10,2,0,99
Kevin Long\Kevin-Long,Burnley,0,0,3,0,0,54
Shane Long\Shane-Long,Southampton,3,0,26,12,0,57
Sean Longstaff\Sean-Longstaff,Newcastle Utd,2,0,7,0,0,103
Ademola Lookman\Ademola-Lookman,Everton,0,0,8,2,0,54
Jonas Lössl\Jonas-Lossl,Huddersfield,1,0,0,0,0,156
Dejan Lovren\Dejan-Lovren,Liverpool,1,0,3,0,0,137
Chris Löwe\Chris-Lowe,Huddersfield,2,0,14,2,0,214
Matthew Lowton\Matthew-Lowton,Burnley,7,0,22,0,0,224
David Luiz\David-Luiz,Chelsea,3,0,34,0,0,397
Romelu Lukaku\Romelu-Lukaku,Manchester Utd,4,0,18,23,0,67
James Maddison\James-Maddison,Leicester City,4,1,26,2,0,203
Gary Madine\Gary-Madine,Cardiff City,0,0,2,0,0,1
Harry Maguire\Harry-Maguire,Leicester City,6,1,20,4,0,403
Riyad Mahrez\Riyad-Mahrez,Manchester City,0,0,10,9,0,106
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,Arsenal,2,1,8,1,0,97
Sadio Mané\Sadio-Mane,Liverpool,2,0,35,26,0,198
Javier Manquillo\Javier-Manquillo,Newcastle Utd,2,0,13,1,0,116
Solly March\Solly-March,Brighton,1,0,29,7,0,186
Adrian Mariappa\Adrian-Mariappa,Watford,3,0,19,1,0,188
Lazar Markovi?\Lazar-Markovic,Fulham,0,0,1,0,0,0
Anthony Martial\Anthony-Martial,Manchester Utd,2,0,14,6,0,84
Adam Masina\Adam-Masina,Watford,5,0,17,1,0,130
Arthur Masuaku\Arthur-Masuaku,West Ham,2,0,16,0,0,188
Juan Mata\Juan-Mata,Manchester Utd,3,0,10,8,0,95
Nemanja Mati?\Nemanja-Matic,Manchester Utd,7,1,27,1,0,377
Joël Matip\Joel-Matip,Liverpool,3,0,12,0,0,216
Konstantinos Mavropanos\Konstantinos-Mavropanos,Arsenal,1,0,2,0,0,16
Alfie Mawson\Alfie-Mawson,Fulham,2,0,6,0,0,138
Isaac Mbenza\Isaac-Mbenza,Huddersfield,1,0,9,6,0,67
James McArthur\James-McArthur,Crystal Palace,7,0,61,2,0,359
Alex McCarthy\Alex-McCarthy,Southampton,1,0,0,0,0,114
James McCarthy\James-McCarthy,Everton,0,0,0,0,0,2
Kevin McDonald\Kevin-McDonald,Fulham,5,1,12,0,0,111
Dwight McNeil\Dwight-McNeil,Burnley,2,0,15,1,0,146
Scott McTominay\Scott-McTominay,Manchester Utd,1,0,11,1,0,101
Ben Mee\Ben-Mee,Burnley,9,0,28,0,2,511
Nathaniel Mendez-Laing\Nathaniel-Mendez-Laing,Cardiff City,0,0,7,3,0,79
Benjamin Mendy\Benjamin-Mendy,Manchester City,1,0,12,0,0,108
Nampalys Mendy\Nampalys-Mendy,Leicester City,5,0,22,0,0,260
Chris Mepham\Chris-Mepham,Bournemouth,1,0,7,0,0,88
Max Meyer\Max-Meyer,Crystal Palace,3,0,10,1,0,117
Luka Milivojevi?\Luka-Milivojevic,Crystal Palace,10,0,60,0,0,451
James Milner\James-Milner,Liverpool,6,1,28,0,0,193
Yerry Mina\Yerry-Mina,Everton,3,0,13,1,0,100
Tyrone Mings\Tyrone-Mings,Bournemouth,0,0,0,0,0,20
Aleksandar Mitrovi?\Aleksandar-Mitrovic,Fulham,7,0,61,34,0,137
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,Arsenal,1,0,27,3,0,166
Nacho Monreal\Nacho-Monreal,Arsenal,5,0,17,1,0,165
Martín Montoya\Martin-Montoya,Brighton,4,0,29,0,0,214
Aaron Mooy\Aaron-Mooy,Huddersfield,4,0,26,1,0,283
Álvaro Morata\Alvaro-Morata,Chelsea,3,0,19,20,0,24
Alberto Moreno\Alberto-Moreno,Liverpool,0,0,1,0,0,20
Wes Morgan\Wes-Morgan,Leicester City,3,2,18,3,0,245
Sean Morrison\Sean-Morrison,Cardiff City,6,0,32,9,0,388
Victor Moses\Victor-Moses,Chelsea,0,0,1,0,0,2
Steve Mounié\Steve-Mounie,Huddersfield,1,1,32,15,0,83
Lucas Moura\Lucas-Moura,Tottenham,3,0,25,14,0,143
Lys Mousset\Lys-Mousset,Bournemouth,1,0,7,4,0,21
João Moutinho\Joao-Moutinho,Wolves,4,0,55,0,0,379
Jacob Murphy\Jacob-Murphy,Newcastle Utd,0,0,4,1,0,22
Josh Murphy\Josh-Murphy,Cardiff City,2,0,14,11,0,122
Glenn Murray\Glenn-Murray,Brighton,5,0,80,38,0,87
Shkodran Mustafi\Shkodran-Mustafi,Arsenal,9,0,42,4,0,308
Yoshinori Mut?\Yoshinori-Muto,Newcastle Utd,1,0,13,2,0,40
Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,Tottenham,0,0,0,0,0,1
Samir Nasri\Samir-Nasri,West Ham,0,0,3,3,0,13
Marc Navarro\Marc-Navarro,Watford,0,0,1,0,0,7
Wilfred Ndidi\Wilfred-Ndidi,Leicester City,8,0,47,2,0,536
Rúben Neves\Ruben-Neves,Wolves,8,0,37,0,0,445
Oumar Niasse\Oumar-Niasse,Everton,0,0,3,1,0,2
Oumar Niasse\Oumar-Niasse,Cardiff City,0,0,8,9,0,43
Eddie Nketiah\Eddie-Nketiah,Arsenal,0,0,1,2,0,4
Mark Noble\Mark-Noble,West Ham,6,1,24,1,0,245
