,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
495,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,22,1996,17.7,1,9,2,22.2,0.51,0.11,0.11,0.5,0,0,0,0.6,0.6,0.07,0.4,0.4,Matches
496,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,26,1991,28.8,10,58,23,39.7,2.02,0.8,0.17,0.43,0,0,0,8.9,8.9,0.15,1.1,1.1,Matches
497,Granit Xhaka\Granit-Xhaka,ch SUI,MFDF,Arsenal,25,1992,27.8,4,30,11,36.7,1.08,0.4,0.13,0.36,7,0,0,1.6,1.6,0.05,2.4,2.4,Matches
498,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,28,1989,5.1,2,9,3,33.3,1.76,0.59,0.22,0.67,0,0,0,1,1,0.12,1,1,Matches
499,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,25,1993,27.5,1,11,2,18.2,0.4,0.07,0.09,0.5,0,0,0,1,1,0.09,0,0,Matches
500,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,29,1988,16.9,0,13,3,23.1,0.77,0.18,0,0,0,0,0,1.7,1.7,0.13,-1.7,-1.7,Matches
501,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,33,1985,28.5,2,12,3,25,0.42,0.11,0.17,0.67,2,0,0,0.4,0.4,0.03,1.6,1.6,Matches
502,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,33,1985,23.2,0,7,1,14.3,0.3,0.04,0,0,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
503,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,25,1992,33.7,10,79,30,38,2.34,0.89,0.13,0.33,0,0,0,6.6,6.6,0.08,3.4,3.4,Matches
504,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,22,1995,16.9,0,20,5,25,1.19,0.3,0,0,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
505,Davide Zappacosta\Davide-Zappacosta,it ITA,DF,Chelsea,26,1992,1.4,0,2,1,50,1.41,0.7,0,0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
506,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,21,1996,12.8,0,7,1,14.3,0.55,0.08,0,0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
507,Kenneth Zohore\Kenneth-Zohore,dk DEN,FW,Cardiff City,24,1994,8.4,1,17,7,41.2,2.03,0.84,0.06,0.14,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
508,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Everton,23,1994,29,2,17,4,23.5,0.59,0.14,0.12,0.5,0,0,0,1.3,1.3,0.08,0.7,0.7,Matches
