,,Total,Total,Total,Total,Total,,,,,,,,,
Player,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
Rúben Neves\Ruben-Neves,Wolves,1569,1946,80.6,37264,9235,3,1.4,1.6,19,198,17,3,176,Matches
Oumar Niasse\Oumar-Niasse,Cardiff City,115,169,68,1645,349,0,0.4,-0.4,5,4,5,1,14,Matches
Oumar Niasse\Oumar-Niasse,Everton,13,22,59.1,193,64,0,0.1,-0.1,1,1,2,1,3,Matches
Eddie Nketiah\Eddie-Nketiah,Arsenal,19,20,95,230,53,0,0.1,-0.1,1,1,1,0,2,Matches
Mark Noble\Mark-Noble,West Ham,1293,1533,84.3,26334,7460,5,2.4,2.6,21,140,28,5,163,Matches
Håvard Nordtveit\Havard-Nordtveit,Fulham,191,228,83.8,4649,1761,1,0.2,0.8,3,13,0,0,7,Matches
Will Norris\Will-Norris,Wolves,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Michael Obafemi\Michael-Obafemi,Southampton,17,23,73.9,225,26,1,0.2,0.8,2,0,3,1,3,Matches
Pedro Obiang\Pedro-Obiang,West Ham,434,549,79.1,8134,2245,1,0.4,0.6,4,47,4,1,51,Matches
Denis Odoi\Denis-Odoi,Fulham,1165,1418,82.2,22741,8242,1,0.7,0.3,11,106,9,2,104,Matches
Angelo Ogbonna\Angelo-Ogbonna,West Ham,659,787,83.7,13634,4255,1,0.5,0.5,4,35,2,0,34,Matches
Stefano Okaka\Stefano-Okaka,Watford,9,13,69.2,112,32,0,0.2,-0.2,2,1,1,1,1,Matches
Shinji Okazaki\Shinji-Okazaki,Leicester City,75,99,75.8,919,207,1,0.3,0.7,2,4,1,0,7,Matches
Divock Origi\Divock-Origi,Liverpool,77,115,67,1316,359,1,0.2,0.8,3,5,4,2,9,Matches
Nicolás Otamendi\Nicolas-Otamendi,Manchester City,1156,1243,93,24413,6048,0,0.2,-0.2,2,80,2,0,54,Matches
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,Liverpool,12,14,85.7,213,105,0,0,0,1,3,0,0,6,Matches
Mesut Özil\Mesut-Ozil,Arsenal,1028,1179,87.2,16606,4368,2,5.6,-3.6,46,101,51,11,147,Matches
Emerson Palmieri\Emerson-Palmieri,Chelsea,451,518,87.1,6364,1730,0,0.6,-0.6,4,22,14,3,37,Matches
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,Arsenal,1215,1353,89.8,26636,7826,2,0.5,1.5,4,33,4,0,40,Matches
Callum Paterson\Callum-Paterson,Cardiff City,281,584,48.1,4509,2059,1,2,-1,19,44,18,2,69,Matches
Rui Patrício\Rui-Patricio,Wolves,493,835,59,19806,13496,0,0,0,0,5,0,0,0,Matches
Pedro\Pedro,Chelsea,950,1135,83.7,15008,3048,2,2.9,-0.9,27,50,30,8,77,Matches
Lee Peltier\Lee-Peltier,Cardiff City,279,442,63.1,5423,2500,0,0,0,2,21,2,1,62,Matches
Andreas Pereira\Andreas-Pereira,Manchester Utd,297,360,82.5,5345,1658,1,0.8,0.2,9,37,8,3,38,Matches
Ricardo Pereira\Ricardo-Pereira,Leicester City,1495,1956,76.4,25059,9670,6,4.3,1.7,31,109,31,6,224,Matches
