Player,Pos,Squad,Min,Mn/MP,90s,Subs,Gls,Sh,SoT,Sh/90,SoT/90,PK,PKatt,xG,Cmp,Att,Cmp%,Ast,xA,KP,FinalThird,PPA,CrsPA,Tkl,TklW,Blocks,Int,Clr,Err,CrdY,CrdR,Fls,Off,OG,Recov,total_points,CBI,PK_miss,succ_tackle
Victor Moses,FW,Chelsea,28.0,14.0,0.3,2,0,0,0,0.0,0.0,0,0,0.0,11,14,78.6,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,1,0,0
Lucas Moura,FW,Tottenham,2121.0,66.0,23.6,7,10,45,20,1.91,0.85,0,0,5.4,561,745,75.3,0,1.9,27,37,18,2,33,23,19,24,24,0,3,0,25,14,0,143,131,67,0,13
Lys Mousset,FW,Bournemouth,368.0,15.0,4.1,23,1,13,7,3.18,1.71,0,0,1.7,86,121,71.1,0,0.5,4,9,6,0,5,4,4,1,2,0,1,0,7,4,0,21,28,7,0,3
João Moutinho,MF,Wolves,3032.0,80.0,33.7,3,1,18,3,0.53,0.09,0,0,0.6,1660,2063,80.5,8,5.7,80,195,45,14,99,65,71,38,43,1,4,0,55,0,0,379,119,152,0,31
Jacob Murphy,MF,Newcastle Utd,302.0,34.0,3.4,6,0,2,1,0.6,0.3,0,0,0.0,39,71,54.9,1,0.4,1,2,3,2,6,4,6,2,4,0,0,0,4,1,0,22,16,12,0,2
Glenn Murray,FW,Brighton,2508.0,66.0,27.9,8,13,51,16,1.83,0.57,4,4,10.4,385,633,60.8,1,0.8,11,25,9,3,14,7,32,2,15,0,5,0,80,38,0,87,129,49,0,0
Shkodran Mustafi,DF,Arsenal,2611.0,84.0,29.0,0,2,19,9,0.65,0.31,0,0,1.3,1438,1747,82.3,0,0.2,5,112,10,0,63,36,50,59,190,1,9,0,42,4,0,308,80,299,0,9
Yoshinori Muto,FW,Newcastle Utd,524.0,31.0,5.8,12,1,5,3,0.86,0.52,0,0,0.8,89,127,70.1,0,0.3,3,10,1,0,11,7,14,5,4,0,1,0,13,2,0,40,24,23,0,3
Georges-Kévin N'Koudou,FW,Tottenham,5.0,5.0,0.1,1,0,0,0,0.0,0.0,0,0,0.0,3,4,75.0,1,0.2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
Samir Nasri,MF,West Ham,245.0,49.0,2.7,2,0,3,0,1.1,0.0,0,0,0.2,135,155,87.1,2,0.8,6,11,6,1,0,0,1,1,1,0,0,0,3,3,0,13,14,3,0,0
Marc Navarro,DF,Watford,84.0,42.0,0.9,1,0,0,0,0.0,0.0,0,0,0.0,22,34,64.7,0,0.0,0,0,0,0,3,1,2,0,3,0,0,0,1,0,0,7,2,5,0,-1
Wilfred Ndidi,MF,Leicester City,3296.0,87.0,36.6,1,2,56,9,1.53,0.25,0,0,3.3,1634,2035,80.3,0,1.5,22,155,11,0,160,109,81,80,92,0,8,0,47,2,0,536,89,253,0,58
Rúben Neves,MF,Wolves,3007.0,86.0,33.4,1,4,71,15,2.13,0.45,2,2,3.6,1569,1946,80.6,3,1.4,19,198,17,3,64,39,75,73,52,1,8,0,37,0,0,445,104,200,0,14
Eddie Nketiah,MF,Arsenal,67.0,13.0,0.7,5,1,3,1,4.03,1.34,0,0,0.2,19,20,95.0,0,0.1,1,1,1,0,1,1,0,0,1,0,0,0,1,2,0,4,10,1,0,1
Mark Noble,MF,West Ham,2291.0,74.0,25.5,2,5,13,5,0.51,0.2,4,4,3.8,1293,1533,84.3,5,2.4,21,140,28,5,55,38,19,21,8,0,6,1,24,1,0,245,99,48,0,21
Michael Obafemi,FW,Southampton,137.0,23.0,1.5,5,1,8,2,5.26,1.31,0,0,1.8,17,23,73.9,1,0.2,2,0,3,1,1,1,2,1,0,0,1,0,2,1,0,7,13,3,0,1
Pedro Obiang,MF,West Ham,1128.0,47.0,12.5,12,0,16,1,1.28,0.08,0,0,0.7,434,549,79.1,1,0.4,4,47,4,1,39,25,25,14,16,0,0,0,15,2,0,107,43,55,0,11
Angelo Ogbonna,DF,West Ham,1874.0,78.0,20.8,4,1,13,5,0.62,0.24,0,0,1.3,659,787,83.7,1,0.5,4,35,2,0,38,23,48,34,111,0,2,0,15,0,0,195,48,193,0,8
Stefano Okaka,FW,Watford,24.0,12.0,0.3,2,0,2,0,7.5,0.0,0,0,0.4,9,13,69.2,0,0.2,2,1,1,1,0,0,1,0,0,0,1,0,1,0,0,6,1,1,0,0
Shinji Okazaki,FW,Leicester City,288.0,14.0,3.2,20,0,4,3,1.25,0.94,0,0,0.3,75,99,75.8,1,0.3,2,4,1,0,6,4,9,2,0,0,0,0,6,3,0,15,25,11,0,2
Divock Origi,FW,Liverpool,371.0,31.0,4.1,8,3,13,6,3.15,1.46,0,0,2.0,77,115,67.0,1,0.2,3,5,4,2,6,4,3,1,1,0,0,0,2,3,0,29,32,5,0,2
Nicolás Otamendi,DF,Manchester City,1236.0,69.0,13.7,4,0,14,3,1.02,0.22,0,0,1.2,1156,1243,93.0,0,0.2,2,80,2,0,29,16,11,28,77,0,1,0,8,0,0,145,70,116,0,3
Alex Oxlade-Chamberlain,MF,Liverpool,21.0,11.0,0.2,2,0,1,1,4.29,4.29,0,0,0.3,12,14,85.7,0,0.0,1,3,0,0,1,0,2,1,0,0,0,0,0,0,0,1,2,3,0,-1
Mesut Özil,MF,Arsenal,1735.0,72.0,19.3,4,5,11,6,0.57,0.31,0,0,1.6,1028,1179,87.2,2,5.6,46,101,51,11,9,5,9,5,2,0,2,0,10,10,0,114,89,16,0,1
Emerson Palmieri,DF,Chelsea,663.0,66.0,7.4,3,0,5,1,0.68,0.14,0,0,0.2,451,518,87.1,0,0.6,4,22,14,3,17,8,17,6,11,0,0,0,8,0,0,51,22,34,0,-1
Sokratis Papastathopoulos,DF,Arsenal,2198.0,88.0,24.4,0,1,10,1,0.41,0.04,0,0,0.8,1215,1353,89.8,2,0.5,4,33,4,0,50,32,42,27,138,0,12,0,37,0,0,186,64,207,0,14
Pedro,FW,Chelsea,1778.0,57.0,19.8,10,8,58,24,2.94,1.21,0,0,6.9,950,1135,83.7,2,2.9,27,50,30,8,23,15,24,17,6,0,2,0,17,8,0,129,112,47,0,7
Andreas Pereira,MF,Manchester Utd,599.0,40.0,6.7,9,1,8,2,1.2,0.3,0,0,0.3,297,360,82.5,1,0.8,9,37,8,3,8,6,14,9,6,0,5,0,12,1,0,69,27,29,0,4
Ricardo Pereira,DF,Leicester City,3123.0,89.0,34.7,0,2,26,9,0.75,0.26,0,0,1.5,1495,1956,76.4,6,4.3,31,109,31,6,119,70,103,63,98,0,7,0,43,2,0,348,146,264,0,21
Roberto Pereyra,FW,Watford,2815.0,85.0,31.3,0,6,56,21,1.79,0.67,0,0,5.1,967,1187,81.5,1,3.4,38,71,37,5,24,20,50,20,19,1,3,0,27,2,0,245,122,89,0,16
Ayoze Pérez,FW,Newcastle Utd,2917.0,79.0,32.4,3,12,53,26,1.64,0.8,0,0,7.5,609,812,75.0,2,3.6,38,46,25,4,52,35,72,42,34,1,2,0,46,9,0,221,141,148,0,18
Lucas Pérez,FW,West Ham,475.0,32.0,5.3,11,3,9,3,1.71,0.57,0,0,1.9,102,148,68.9,0,0.8,8,4,4,0,4,3,2,3,2,0,0,0,5,3,0,28,33,7,0,2
Paul Pogba,MF,Manchester Utd,3006.0,86.0,33.4,1,13,96,38,2.87,1.14,7,10,14.5,1728,2115,81.7,9,5.2,51,225,64,8,47,37,42,20,30,0,6,0,54,5,0,298,179,92,3,27
Sebastian Prödl,DF,Watford,13.0,13.0,0.1,1,0,0,0,0.0,0.0,0,0,0.0,3,3,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Davy Pröpper,MF,Brighton,2546.0,85.0,28.3,0,1,15,2,0.53,0.07,0,0,1.1,980,1252,78.3,1,1.0,19,122,21,3,49,36,50,52,37,0,2,0,34,2,0,330,72,139,0,23
Domingos Quina,MF,Watford,338.0,42.0,3.8,5,1,5,1,1.33,0.27,0,0,0.2,198,232,85.3,0,0.1,1,25,3,1,13,8,4,4,5,0,0,0,7,0,0,46,17,13,0,3
Aaron Ramsey,MF,Arsenal,1331.0,48.0,14.8,14,4,33,12,2.23,0.81,0,0,3.2,647,790,81.9,6,2.4,24,53,21,5,31,19,9,7,2,0,0,0,21,5,0,112,91,18,0,7
Kayne Ramsey,DF,Southampton,90.0,90.0,1.0,0,0,0,0,0.0,0.0,0,0,0.0,14,18,77.8,0,0.0,0,0,0,0,3,2,0,0,8,0,0,0,0,0,0,5,1,8,0,1
Marcus Rashford,FW,Manchester Utd,2334.0,71.0,25.9,7,10,83,40,3.2,1.54,0,0,9.4,538,728,73.9,6,4.4,38,32,24,3,19,9,24,4,18,0,3,1,26,15,0,114,128,46,0,-1
Nathan Redmond,FW,Southampton,3270.0,86.0,36.3,2,6,74,22,2.04,0.61,0,0,6.3,877,1215,72.2,4,5.4,55,62,61,22,43,29,57,22,11,0,3,0,29,15,0,246,137,90,0,15
Declan Rice,MF,West Ham,3003.0,88.0,33.4,0,2,24,5,0.72,0.15,0,0,1.4,1364,1570,86.9,0,0.5,9,127,5,0,93,68,54,50,59,0,4,0,17,1,0,449,92,163,0,43
Richarlison,FW,Everton,2665.0,76.0,29.6,3,13,87,27,2.94,0.91,0,0,9.0,546,837,65.2,1,1.4,17,39,25,3,55,34,33,15,35,0,5,1,33,17,0,226,153,83,0,13
Diego Rico,DF,Bournemouth,612.0,51.0,6.8,7,0,9,0,1.32,0.0,0,0,0.2,259,382,67.8,0,1.1,11,22,7,5,12,5,17,14,21,0,1,0,10,0,0,80,8,52,0,-2
Matt Ritchie,DF,Newcastle Utd,2928.0,81.0,32.5,1,2,39,7,1.2,0.22,1,2,5.0,1036,1580,65.6,8,4.6,53,63,46,28,65,40,68,57,59,0,9,0,55,1,0,298,110,184,1,15
Andrew Robertson,DF,Liverpool,3216.0,89.0,35.7,0,0,14,5,0.39,0.14,0,0,0.9,2283,2797,81.6,11,6.8,52,159,72,18,76,44,53,31,54,1,4,0,20,1,0,362,213,138,0,12
Marcos Rojo,DF,Manchester Utd,212.0,42.0,2.4,3,0,6,3,2.55,1.27,0,0,0.3,99,137,72.3,0,0.0,0,11,1,0,5,3,7,6,9,1,2,0,3,0,1,19,2,22,0,1
Oriol Romeu,MF,Southampton,2136.0,69.0,23.7,6,1,10,4,0.42,0.17,0,0,0.8,898,1116,80.5,0,0.4,7,121,10,2,86,60,60,46,50,0,11,0,46,0,0,338,55,156,0,34
Salomón Rondón,FW,Newcastle Utd,2603.0,81.0,28.9,2,11,89,29,3.08,1.0,0,0,11.0,538,772,69.7,7,3.3,30,42,22,3,11,8,19,6,38,0,1,0,22,20,0,152,148,63,0,5
Danny Rose,DF,Tottenham,1798.0,69.0,20.0,6,0,15,2,0.75,0.1,0,0,0.7,869,1173,74.1,3,2.1,26,58,34,16,51,29,40,23,25,0,5,0,26,1,0,201,86,88,0,7
Antonio Rüdiger,DF,Chelsea,2871.0,87.0,31.9,0,1,28,7,0.88,0.22,0,0,2.0,2310,2528,91.4,0,0.5,5,177,10,0,38,20,28,29,106,1,7,0,29,1,0,403,116,163,0,2
Romain Saïss,MF,Wolves,1149.0,60.0,12.8,7,2,11,5,0.86,0.39,0,0,1.5,553,706,78.3,0,0.3,3,60,5,2,45,23,35,28,85,0,7,0,27,0,0,156,47,148,0,1
Bukayo Saka,FW,Arsenal,8.0,8.0,0.1,1,0,0,0,0.0,0.0,0,0,0.0,0,0,-9.223372036854776e+18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mamadou Sakho,DF,Crystal Palace,2416.0,89.0,26.8,0,0,5,0,0.19,0.0,0,0,0.8,1135,1285,88.3,0,0.5,7,81,3,0,28,15,45,42,153,2,2,0,6,0,0,293,88,240,0,2
Bakary Sako,FW,Crystal Palace,29.0,7.0,0.3,4,0,0,0,0.0,0.0,0,0,0.0,9,13,69.2,0,0.0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,5,4,0,0,0
Mohamed Salah,FW,Liverpool,3250.0,86.0,36.1,1,22,135,60,3.74,1.66,3,3,19.1,864,1150,75.1,8,9.1,68,58,74,7,16,14,20,5,3,0,1,0,25,28,0,201,259,28,0,12
Alexis Sánchez,FW,Manchester Utd,880.0,44.0,9.8,11,1,18,9,1.84,0.92,0,0,1.5,292,409,71.4,3,3.1,20,25,26,5,14,8,7,9,2,0,3,0,15,8,0,61,47,18,0,2
Carlos Sánchez,MF,West Ham,245.0,35.0,2.7,5,0,3,0,1.1,0.0,0,0,0.1,124,140,88.6,0,0.1,2,14,1,0,2,1,1,1,3,1,0,0,3,0,0,34,9,5,0,0
Davinson Sánchez,DF,Tottenham,1942.0,84.0,21.6,1,1,12,3,0.56,0.14,0,0,1.2,1289,1424,90.5,1,0.0,1,42,0,0,36,23,30,27,113,0,2,0,20,0,0,256,78,170,0,10
Leroy Sané,FW,Manchester City,1867.0,60.0,20.7,10,10,56,24,2.7,1.16,0,0,6.0,750,954,78.6,10,6.6,36,26,39,2,23,19,28,9,2,0,1,0,10,19,0,122,156,39,0,15
Fabian Schär,DF,Newcastle Utd,1999.0,83.0,22.2,2,4,23,7,1.04,0.32,0,0,1.7,699,1029,67.9,1,0.6,11,86,9,1,63,28,54,65,147,0,12,0,28,1,0,238,93,266,0,-7
Jeffrey Schlupp,MF,Crystal Palace,1670.0,56.0,18.6,12,4,29,9,1.56,0.49,0,0,3.0,484,646,74.9,1,1.5,17,49,12,3,41,19,45,22,22,0,1,0,25,0,0,148,91,89,0,-3
Morgan Schneiderlin,MF,Everton,834.0,60.0,9.3,4,0,3,0,0.32,0.0,0,0,0.1,484,544,89.0,1,0.6,9,48,4,0,24,14,16,15,21,0,2,0,21,0,0,108,28,52,0,4
Ken Sema,FW,Watford,754.0,44.0,8.4,8,1,10,3,1.19,0.36,0,0,0.8,186,261,71.3,2,0.4,7,11,5,0,13,9,16,8,4,0,1,0,13,1,0,60,37,28,0,5
Xherdan Shaqiri,FW,Liverpool,1064.0,44.0,11.8,13,6,26,10,2.2,0.85,0,0,3.7,545,695,78.4,3,1.9,19,49,36,7,9,4,11,5,5,0,2,0,9,2,0,102,88,21,0,-1
Luke Shaw,DF,Manchester Utd,2591.0,89.0,28.8,0,1,20,6,0.69,0.21,0,0,1.0,1657,1984,83.5,4,3.5,33,122,36,9,45,25,59,22,83,0,11,0,42,1,0,342,91,164,0,5
Jonjo Shelvey,MF,Newcastle Utd,948.0,59.0,10.5,6,1,24,8,2.28,0.76,0,0,1.0,458,678,67.6,1,1.4,24,79,20,6,19,9,13,8,15,0,1,0,16,0,0,146,39,36,0,-1
Gylfi Sigurðsson,MF,Everton,3117.0,82.0,34.6,2,13,81,29,2.34,0.84,2,5,10.8,830,1231,67.4,6,7.0,72,99,48,8,47,31,49,29,21,0,3,0,33,3,0,258,182,99,3,15
Adrien Silva,MF,Leicester City,88.0,44.0,1.0,1,0,0,0,0.0,0.0,0,0,0.0,70,79,88.6,0,0.0,0,9,1,0,2,1,0,1,1,0,0,0,1,0,0,11,3,2,0,0
Bernardo Silva,MF,Manchester City,2854.0,79.0,31.7,5,7,64,22,2.02,0.69,0,0,6.5,1513,1798,84.1,7,7.4,70,96,57,5,58,46,53,27,19,0,3,0,31,2,0,254,154,99,0,34
David Silva,MF,Manchester City,2401.0,73.0,26.7,5,6,50,18,1.87,0.67,0,0,6.9,1783,2083,85.6,8,9.0,73,136,84,5,27,22,24,19,13,0,2,0,26,6,0,215,143,56,0,17
Xande Silva,FW,West Ham,18.0,18.0,0.2,1,0,2,0,10.0,0.0,0,0,0.1,3,5,60.0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
Danny Simpson,DF,Leicester City,292.0,49.0,3.2,3,0,0,0,0.0,0.0,0,0,0.0,108,154,70.1,0,0.0,1,5,0,0,9,7,12,6,16,0,0,0,2,0,0,35,12,34,0,5
Jack Simpson,DF,Bournemouth,403.0,67.0,4.5,2,0,2,1,0.45,0.22,0,0,0.1,191,225,84.9,0,0.1,1,12,1,0,7,4,10,10,42,0,0,0,3,0,1,46,10,62,0,1
Josh Sims,FW,Southampton,212.0,30.0,2.4,5,0,5,1,2.12,0.42,0,0,0.6,36,46,78.3,1,0.5,2,1,2,2,1,0,2,1,1,0,0,0,1,1,0,23,11,4,0,-1
Moussa Sissoko,MF,Tottenham,2330.0,80.0,25.9,2,0,15,3,0.58,0.12,0,0,1.2,1205,1397,86.3,3,2.4,23,106,13,3,45,30,41,16,24,0,2,0,25,3,0,259,76,81,0,15
Oliver Skipp,MF,Tottenham,220.0,28.0,2.4,6,0,2,0,0.82,0.0,0,0,0.1,116,137,84.7,0,0.0,1,7,0,0,5,3,4,1,4,0,0,0,4,0,0,30,12,9,0,1
Callum Slattery,MF,Southampton,112.0,37.0,1.2,2,0,2,0,1.61,0.0,0,0,0.2,21,32,65.6,0,0.0,0,3,1,0,4,2,5,2,2,0,0,0,4,0,0,10,4,9,0,0
Chris Smalling,DF,Manchester Utd,2127.0,89.0,23.6,0,1,12,4,0.51,0.17,0,0,1.1,800,924,86.6,0,0.4,3,21,1,0,29,15,53,27,141,1,1,0,22,2,1,230,56,221,0,1
Adam Smith,DF,Bournemouth,2066.0,83.0,23.0,0,1,8,1,0.35,0.04,0,0,0.4,860,1072,80.2,1,0.8,10,73,16,3,49,28,56,32,67,1,5,1,18,0,0,191,70,155,0,7
Robert Snodgrass,MF,West Ham,2220.0,67.0,24.7,8,2,31,8,1.26,0.32,0,0,2.3,875,1156,75.7,5,4.9,61,81,31,6,45,27,26,11,19,0,10,0,36,3,0,185,85,56,0,9
Cédric Soares,DF,Southampton,1495.0,83.0,16.6,2,1,10,3,0.6,0.18,0,0,0.3,577,822,70.2,2,1.2,13,50,20,10,28,17,36,21,41,1,4,0,9,1,0,175,52,98,0,6
Dominic Solanke,FW,Bournemouth,347.0,35.0,3.9,8,0,9,3,2.33,0.78,0,0,0.9,73,101,72.3,1,0.6,8,3,2,0,8,6,7,2,5,0,0,0,2,1,0,28,15,14,0,4
Pape Souaré,DF,Crystal Palace,1.0,1.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,3,3,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Çaglar Söyüncü,DF,Leicester City,372.0,62.0,4.1,2,0,2,1,0.48,0.24,0,0,0.1,183,215,85.1,0,0.0,0,11,2,1,7,5,6,6,33,1,1,0,9,0,0,37,9,45,0,3
Junior Stanislas,MF,Bournemouth,1031.0,45.0,11.5,12,2,33,9,2.88,0.79,1,1,3.9,409,537,76.2,3,2.1,15,30,29,5,11,7,13,3,11,0,1,0,6,3,0,85,56,27,0,3
Dale Stephens,MF,Brighton,2485.0,83.0,27.6,1,1,10,2,0.36,0.07,0,0,0.3,1145,1369,83.6,1,0.8,21,140,11,0,76,53,40,49,59,1,6,1,44,0,0,337,65,148,0,30
Jack Stephens,DF,Southampton,1700.0,71.0,18.9,5,1,7,5,0.37,0.26,0,0,0.7,599,793,75.5,0,0.1,4,51,4,0,24,15,31,34,121,0,4,0,13,0,0,219,47,186,0,6
Raheem Sterling,FW,Manchester City,2771.0,82.0,30.8,3,17,76,37,2.47,1.2,0,0,13.1,1099,1337,82.2,9,9.2,58,22,52,5,29,17,36,16,6,0,3,0,41,13,0,161,234,58,0,5
John Stones,DF,Manchester City,1764.0,74.0,19.6,4,0,5,1,0.26,0.05,0,0,0.2,1646,1741,94.5,0,0.2,5,111,5,0,15,11,29,15,67,0,1,0,6,1,0,188,83,111,0,7
Daniel Sturridge,FW,Liverpool,509.0,28.0,5.7,14,2,18,6,3.18,1.06,0,0,1.2,148,188,78.7,1,1.2,8,13,11,0,3,2,1,2,1,0,1,0,5,4,0,35,34,4,0,1
Denis Suárez,FW,Arsenal,71.0,18.0,0.8,4,0,0,0,0.0,0.0,0,0,0.0,32,35,91.4,0,0.0,0,2,1,0,1,1,0,1,0,0,0,0,0,1,0,6,4,1,0,1
Isaac Success,FW,Watford,1052.0,35.0,11.7,21,1,28,11,2.4,0.94,0,0,2.7,262,369,71.0,1,2.1,19,14,22,4,21,17,10,2,9,0,4,0,24,12,0,57,42,21,0,13
Ki Sung-yueng,MF,Newcastle Utd,1302.0,72.0,14.5,4,0,9,2,0.62,0.14,0,0,0.2,520,644,80.7,1,0.9,15,52,8,0,15,10,18,20,15,1,2,0,12,0,0,161,38,53,0,5
Andrew Surman,MF,Bournemouth,1439.0,80.0,16.0,2,0,9,1,0.56,0.06,0,0,0.3,725,839,86.4,0,0.7,9,66,18,1,13,8,29,10,31,0,2,0,8,0,0,181,36,70,0,3
Sam Surridge,FW,Bournemouth,13.0,7.0,0.1,2,0,2,1,13.85,6.92,0,0,0.4,3,5,60.0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Alexander Sørloth,FW,Crystal Palace,185.0,15.0,2.1,12,0,4,2,1.95,0.97,0,0,0.2,41,62,66.1,0,0.6,3,2,1,0,1,1,2,0,3,0,0,0,4,0,0,16,12,5,0,1
Matt Targett,DF,Southampton,1186.0,74.0,13.2,3,1,11,3,0.83,0.23,0,0,0.6,456,688,66.3,3,2.5,22,34,14,8,27,15,38,26,34,0,2,0,8,1,0,107,36,98,0,3
James Tarkowski,DF,Burnley,3086.0,88.0,34.3,0,3,24,8,0.7,0.23,0,0,3.6,790,1117,70.7,1,0.3,6,91,13,0,71,39,95,40,259,3,8,0,35,4,0,405,97,394,0,7
Charlie Taylor,DF,Burnley,3243.0,85.0,36.0,3,0,6,0,0.17,0.0,0,0,0.1,1224,1707,71.7,1,1.1,12,66,22,13,56,34,125,35,111,1,2,0,15,1,0,331,82,271,0,12
Youri Tielemans,MF,Leicester City,1086.0,84.0,12.1,0,3,30,10,2.49,0.83,0,0,1.8,542,645,84.0,4,2.5,19,65,13,3,14,11,19,4,15,0,2,0,11,0,0,114,63,38,0,8
James Tomkins,DF,Crystal Palace,2560.0,88.0,28.4,0,1,23,7,0.81,0.25,0,0,1.3,915,1089,84.0,1,0.9,6,62,1,0,45,28,36,39,205,2,5,0,16,2,0,253,86,280,0,11
Lucas Torreira,MF,Arsenal,2382.0,70.0,26.5,10,2,24,6,0.91,0.23,0,0,1.7,1420,1623,87.5,2,1.3,16,104,18,1,57,46,39,41,41,0,7,1,37,0,0,349,78,121,0,35
Cenk Tosun,FW,Everton,1059.0,42.0,11.8,15,3,34,15,2.89,1.27,0,0,3.9,190,255,74.5,3,0.5,11,9,9,1,13,11,8,5,2,0,3,0,17,10,0,56,56,15,0,9
Andros Townsend,FW,Crystal Palace,3009.0,79.0,33.4,4,6,62,17,1.85,0.51,0,0,4.9,895,1237,72.4,4,5.2,64,56,44,21,60,39,63,37,18,0,1,0,10,9,0,264,135,118,0,18
Adama Traoré,FW,Wolves,902.0,31.0,10.0,21,1,19,7,1.9,0.7,0,0,1.2,240,334,71.9,1,1.8,17,17,20,13,16,8,10,6,8,0,1,0,15,7,0,66,44,24,0,0
Kieran Trippier,DF,Tottenham,2276.0,84.0,25.3,1,1,8,3,0.32,0.12,0,0,0.5,1515,2000,75.8,3,4.2,48,94,65,30,66,38,55,23,67,2,2,0,20,6,1,273,118,145,0,10
Antonio Valencia,DF,Manchester Utd,466.0,78.0,5.2,1,0,2,0,0.39,0.0,0,0,0.1,275,321,85.7,0,0.6,7,23,7,4,10,4,14,5,7,0,2,0,7,0,0,35,17,26,0,-2
Yan Valery,DF,Southampton,1712.0,74.0,19.0,3,2,6,5,0.32,0.26,0,0,0.6,380,621,61.2,1,0.2,5,31,7,3,50,27,51,20,48,1,4,1,28,2,0,160,54,119,0,4
Jamie Vardy,FW,Leicester City,2726.0,80.0,30.3,4,18,75,32,2.48,1.06,4,5,17.5,286,443,64.6,4,4.4,29,13,17,5,20,13,25,5,28,0,3,1,20,37,0,86,174,58,1,6
Jan Vertonghen,DF,Tottenham,1911.0,87.0,21.2,0,1,16,2,0.75,0.09,0,0,1.5,1338,1535,87.2,0,0.2,3,121,7,3,40,31,36,33,93,3,4,1,11,1,0,265,67,162,0,22
Jannik Vestergaard,DF,Southampton,2027.0,88.0,22.5,0,0,13,1,0.58,0.04,0,0,0.5,671,887,75.6,0,0.6,6,66,2,0,55,33,45,34,165,4,2,0,16,1,0,277,50,244,0,11
Rúben Vinagre,DF,Wolves,710.0,42.0,7.9,10,0,5,4,0.63,0.51,0,0,0.3,301,424,71.0,0,0.8,6,18,7,6,12,7,13,14,11,0,1,0,13,1,0,73,24,38,0,2
Sam Vokes,FW,Burnley,915.0,46.0,10.2,10,3,23,7,2.26,0.69,0,0,2.7,151,259,58.3,0,0.5,6,18,4,1,5,0,7,0,16,0,0,0,14,8,0,19,48,23,0,-5
Matej Vydra,FW,Burnley,318.0,24.0,3.5,10,1,6,3,1.7,0.85,0,0,1.4,46,77,59.7,1,0.2,1,0,4,0,4,3,4,1,2,0,1,0,7,2,0,21,21,7,0,2
Theo Walcott,FW,Everton,2119.0,57.0,23.5,13,5,43,21,1.83,0.89,0,0,5.7,447,631,70.8,2,2.5,21,41,18,11,26,14,25,23,13,0,1,0,11,19,0,122,101,61,0,2
Kyle Walker,DF,Manchester City,2779.0,84.0,30.9,3,1,20,3,0.65,0.1,0,0,0.7,2337,2655,88.0,1,1.7,24,252,29,4,46,31,38,38,68,0,3,0,15,4,0,348,150,144,0,16
Kyle Walker-Peters,DF,Tottenham,376.0,63.0,4.2,2,0,2,0,0.48,0.0,0,0,0.4,186,226,82.3,3,0.7,8,6,4,2,6,2,6,5,4,0,1,0,4,1,0,43,28,15,0,-2
Aaron Wan-Bissaka,DF,Crystal Palace,3134.0,90.0,34.8,0,0,9,0,0.26,0.0,0,0,0.5,1156,1537,75.2,3,1.8,14,84,23,8,134,60,103,86,153,1,4,1,23,3,0,313,120,342,0,-14
Victor Wanyama,MF,Tottenham,516.0,40.0,5.7,9,1,7,2,1.22,0.35,0,0,1.0,259,314,82.5,0,0.0,2,19,0,0,21,14,13,7,11,0,2,0,10,0,0,72,24,31,0,7
Joel Ward,DF,Crystal Palace,552.0,79.0,6.1,1,1,2,1,0.33,0.16,0,0,0.7,185,256,72.3,0,0.2,3,19,3,1,13,8,19,10,29,1,1,0,8,1,0,64,13,58,0,3
Stephen Ward,DF,Burnley,228.0,76.0,2.5,0,0,1,1,0.39,0.39,0,0,0.1,112,154,72.7,0,0.1,1,9,2,1,2,2,5,3,8,0,1,0,2,0,0,31,7,16,0,2
James Ward-Prowse,MF,Southampton,1945.0,75.0,21.6,5,7,30,14,1.39,0.65,1,1,3.7,622,913,68.1,0,3.2,44,52,12,5,43,22,34,24,40,1,4,0,23,3,1,190,94,98,0,1
Danny Welbeck,FW,Arsenal,153.0,19.0,1.7,7,1,4,2,2.35,1.18,0,0,0.5,41,54,75.9,1,0.7,7,7,3,0,3,3,4,1,1,0,0,0,3,0,0,12,19,6,0,3
Ashley Westwood,MF,Burnley,2824.0,83.0,31.4,3,2,22,7,0.7,0.22,0,0,2.1,1111,1504,73.9,7,5.1,43,142,41,10,63,40,56,46,45,0,5,0,30,1,0,412,111,147,0,17
Connor Wickham,FW,Crystal Palace,67.0,11.0,0.7,6,0,5,1,6.72,1.34,0,0,0.5,6,13,46.2,1,0.3,1,0,0,0,0,0,1,0,2,0,0,0,3,0,0,4,9,3,0,0
Georginio Wijnaldum,MF,Liverpool,2725.0,78.0,30.3,3,3,30,8,0.99,0.26,0,0,2.4,1620,1778,91.1,0,1.2,21,191,18,2,43,32,29,24,22,0,3,0,19,2,0,309,108,75,0,21
