Player,Pos,Squad,Min,Mn/MP,90s,Subs,Gls,Sh,SoT,Sh/90,SoT/90,PK,PKatt,xG,Cmp,Att,Cmp%,Ast,xA,KP,FinalThird,PPA,CrsPA,Tkl,TklW,Blocks,Int,Clr,Err,CrdY,CrdR,Fls,Off,OG,Recov,total_points,CBI,PK_miss,succ_tackle
Étienne Capoue,MF,Watford,2944.0,89.0,32.7,0,1,17,3,0.52,0.09,0,0,1.0,1482,1778,83.4,3,0.9,9,152,18,1,90,67,63,86,76,0,14,1,47,0,0,466,79,225,0,44
Andy Carroll,FW,West Ham,461.0,38.0,5.1,9,0,14,6,2.73,1.17,0,0,1.9,86,131,65.6,0,0.2,3,4,0,0,2,1,5,1,10,1,2,0,11,3,0,25,12,16,0,0
Jonny Castro,DF,Wolves,2771.0,84.0,30.8,1,1,26,7,0.84,0.23,0,0,2.0,1124,1394,80.6,1,1.5,25,38,22,5,74,41,63,64,58,0,6,0,23,5,0,264,103,185,0,8
Craig Cathcart,DF,Watford,3096.0,86.0,34.4,1,3,16,6,0.47,0.17,0,0,1.8,1046,1278,81.8,0,0.4,1,61,3,1,52,30,55,36,184,2,2,0,18,1,2,381,93,275,0,8
Ivan Cavaleiro,FW,Wolves,693.0,30.0,7.7,17,3,12,4,1.56,0.52,0,0,2.2,252,356,70.8,1,1.5,17,13,12,8,11,5,8,4,4,0,1,0,13,6,0,48,48,16,0,-1
Nathaniel Chalobah,MF,Watford,270.0,30.0,3.0,6,0,2,1,0.67,0.33,0,0,0.1,93,121,76.9,0,0.0,0,10,1,0,5,2,3,5,4,0,2,0,5,0,0,43,10,12,0,-1
Ben Chilwell,DF,Leicester City,3240.0,90.0,36.0,0,0,20,10,0.56,0.28,0,0,0.8,1575,2239,70.3,4,3.0,40,99,36,16,56,36,73,38,114,0,4,0,32,2,0,348,118,225,0,16
Tahith Chong,FW,Manchester Utd,38.0,19.0,0.4,2,0,2,1,4.74,2.37,0,0,0.1,13,15,86.7,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Hamza Choudhury,MF,Leicester City,595.0,66.0,6.6,2,0,4,2,0.61,0.3,0,0,0.4,207,238,87.0,0,0.4,4,17,3,1,23,8,14,15,17,0,0,0,7,0,0,56,20,46,0,-7
Andreas Christensen,DF,Chelsea,617.0,77.0,6.9,2,0,0,0,0.0,0.0,0,0,0.0,416,446,93.3,0,0.0,0,22,0,0,10,4,8,4,32,0,1,0,8,0,0,86,22,44,0,-2
Ciaran Clark,DF,Newcastle Utd,858.0,78.0,9.5,2,3,7,3,0.73,0.31,0,0,0.4,225,302,74.5,0,0.4,3,15,3,0,15,10,14,12,46,0,1,0,6,0,0,106,42,72,0,5
Tom Cleverley,MF,Watford,478.0,37.0,5.3,9,1,3,1,0.56,0.19,0,0,0.2,175,229,76.4,0,0.0,0,15,5,0,18,14,4,4,12,0,2,0,8,1,0,58,25,20,0,10
Nathaniel Clyne,DF,Bournemouth,1143.0,82.0,12.7,1,0,2,0,0.16,0.0,0,0,0.3,454,588,77.2,1,0.2,5,21,10,3,29,13,19,17,39,0,2,0,9,0,0,119,34,75,0,-3
Conor Coady,DF,Wolves,3420.0,90.0,38.0,0,0,0,0,0.0,0.0,0,0,0.0,1412,1677,84.2,0,0.0,0,119,5,0,31,16,45,31,152,1,5,0,11,0,3,357,94,228,0,1
Séamus Coleman,DF,Everton,2558.0,88.0,28.4,0,2,13,5,0.46,0.18,0,0,1.2,1218,1583,76.9,2,2.3,22,97,25,14,50,32,40,27,81,1,1,0,22,3,1,317,125,148,0,14
Lewis Cook,MF,Bournemouth,723.0,56.0,8.0,5,0,3,0,0.37,0.0,0,0,0.1,328,400,82.0,0,0.1,2,30,7,1,14,8,8,7,8,0,2,0,12,0,0,97,22,23,0,2
Steve Cook,DF,Bournemouth,2786.0,90.0,31.0,0,1,22,8,0.71,0.26,0,0,1.1,1222,1573,77.7,1,1.2,12,88,5,1,35,21,45,50,242,1,3,0,18,1,1,343,85,337,0,7
Jack Cork,MF,Burnley,3312.0,90.0,36.8,0,1,15,2,0.41,0.05,0,0,1.7,1081,1349,80.1,2,1.6,17,102,16,2,46,27,57,29,76,0,6,0,32,4,0,423,87,162,0,8
Hélder Costa,FW,Wolves,1341.0,54.0,14.9,9,1,25,7,1.68,0.47,0,0,2.5,372,493,75.5,2,1.6,17,18,20,2,17,14,17,8,7,0,3,0,20,6,0,92,52,32,0,11
Aaron Cresswell,DF,West Ham,1589.0,79.0,17.7,2,0,11,0,0.62,0.0,0,0,0.5,835,1061,78.7,1,1.1,16,63,18,6,24,15,43,20,60,1,1,0,2,1,0,167,34,123,0,6
Peter Crouch,FW,Burnley,92.0,15.0,1.0,6,0,4,1,3.91,0.98,0,0,0.4,11,25,44.0,0,0.0,0,1,1,0,0,0,2,0,3,0,1,0,3,0,0,2,8,5,0,0
Diogo Dalot,DF,Manchester Utd,1013.0,63.0,11.3,4,0,15,0,1.33,0.0,0,0,0.4,395,556,71.0,2,1.7,17,23,14,7,22,13,25,8,36,1,3,0,12,2,0,105,27,69,0,4
Charlie Daniels,DF,Bournemouth,1585.0,75.0,17.6,4,1,13,3,0.74,0.17,0,0,0.5,785,1019,77.0,0,1.0,11,62,22,6,24,16,35,22,34,1,4,0,8,0,0,195,44,91,0,8
Danilo,DF,Manchester City,807.0,73.0,9.0,2,1,14,3,1.56,0.33,0,0,0.5,767,871,88.1,0,0.3,5,69,9,1,21,9,7,16,41,1,1,0,10,0,0,115,46,64,0,-3
Scott Dann,DF,Crystal Palace,663.0,66.0,7.4,3,0,6,1,0.81,0.14,0,0,0.3,190,243,78.2,1,0.0,0,10,0,0,5,1,24,5,62,0,1,0,4,0,0,62,23,91,0,-3
Matteo Darmian,DF,Manchester Utd,443.0,74.0,4.9,1,0,1,1,0.2,0.2,0,0,0.0,176,206,85.4,0,0.1,2,14,1,1,12,6,8,7,20,0,0,0,3,1,0,34,14,35,0,0
Ben Davies,DF,Tottenham,1844.0,68.0,20.5,7,0,15,1,0.73,0.05,0,0,0.8,1071,1314,81.5,0,1.9,17,82,21,7,44,24,39,23,66,0,2,0,18,0,0,211,66,128,0,4
Tom Davies,MF,Everton,980.0,61.0,10.9,6,0,7,2,0.64,0.18,0,0,0.3,414,525,78.9,0,0.5,5,49,8,0,27,13,13,17,5,0,3,0,21,1,0,125,26,35,0,-1
Steven Davis,MF,Southampton,98.0,33.0,1.1,2,0,0,0,0.0,0.0,0,0,0.0,65,69,94.2,1,0.7,3,6,3,1,3,3,4,2,4,0,0,0,2,1,0,14,9,10,0,3
Kevin De Bruyne,MF,Manchester City,975.0,51.0,10.8,8,2,31,11,2.86,1.02,0,0,2.1,625,819,76.3,2,3.5,33,66,44,8,20,16,9,3,3,0,2,0,10,1,0,91,59,15,0,12
Troy Deeney,FW,Watford,2545.0,80.0,28.3,4,9,61,28,2.16,0.99,1,1,9.3,522,836,62.4,5,4.7,40,61,42,3,28,19,36,8,30,0,4,1,42,13,0,149,116,74,0,10
Jermain Defoe,DF,Bournemouth,25.0,6.0,0.3,4,0,1,1,3.6,3.6,0,0,0.4,0,0,-9.223372036854776e+18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Steven Defour,MF,Burnley,448.0,75.0,5.0,0,0,0,0,0.0,0.0,0,0,0.0,198,250,79.2,0,0.0,2,17,4,0,8,4,9,7,8,0,0,0,1,0,0,56,10,24,0,0
