Player,Pos,90s,xA,xG,Recov,CrsPA,Tkl,TklW
Matt Doherty\Matt-Doherty,DF,31.5,1.7,5.1,255,9,65,33
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,35.1,2.6,5,441,4,70,49
Thomas Doyle\Thomas-Doyle,MFFW,0.2,0,0.1,1,0,0,0
Danny Drinkwater\Danny-Drinkwater,MF,0.6,0,0,8,0,2,2
Danny Drinkwater\Danny-Drinkwater,MF,2.9,0,0.1,46,0,9,5
Josip Drmi?\Josip-Drmic,FWMF,7.2,0.4,2.6,49,0,4,3
Martin Dúbravka\Martin-Dubravka,GK,38,0,0,170,0,0,0
Ondrej Duda\Ondrej-Duda,MF,8,1,0.8,66,2,19,15
Shane Duffy\Shane-Duffy,DF,13.8,0,1.5,136,0,16,9
Paul Dummett\Paul-Dummett,DF,13.6,0.1,0.1,121,3,28,6
Lewis Dunk\Lewis-Dunk,DF,35.9,1.1,4.2,410,0,43,28
Ederson\Ederson,GK,34.1,0.1,0,155,0,1,1
John Egan\John-Egan,DF,35.4,0.1,2.3,370,0,45,27
Harvey Elliot\Harvey-Elliot,DF,0.1,0,0,1,1,0,0
Ahmed Elmohamady\Ahmed-Elmohamady,DF,11.5,2.6,0.2,114,16,25,17
Björn Engels\Bjorn-Engels,DF,16.1,0.1,0.8,128,1,9,4
Christian Eriksen\Christian-Eriksen,MFFW,12.2,1.9,1.9,138,1,19,12
Jonny Evans\Jonny-Evans,DF,37.6,0.6,2.6,434,1,48,31
?ukasz Fabia?ski\Lukasz-Fabianski,GK,23.5,0,0,120,0,0,0
Fabinho\Fabinho,MF,23.1,1.8,0.4,326,2,77,53
Ralf Fährmann\Ralf-Fahrmann,GK,0.2,0,0,2,0,0,0
Akin Famewo\Akin-Famewo,MF,0,0,0,0,0,0,0
Kiko Femenía\Kiko-Femenia,DF,24.9,1.6,0.1,274,16,62,32
Bruno Fernandes\Bruno-Fernandes,MF,13.2,2.6,5.9,91,2,19,14
Gedson Fernandes\Gedson-Fernandes,MFDF,0.8,0.2,0,9,1,1,1
Federico Fernández\Federico-Fernandez,DF,29.1,0.2,1.7,250,4,50,32
Fernandinho\Fernandinho,DF,26.6,0.6,1.1,310,1,44,25
Roberto Firmino\Roberto-Firmino,FW,33.2,6,13.4,191,0,37,26
John Fleck\John-Fleck,MF,28,3.4,3.3,250,7,38,24
Phil Foden\Phil-Foden,FWMF,10,1.9,4.4,61,2,16,9
Pablo Fornals\Pablo-Fornals,MFFW,24.1,2.1,2.8,187,6,42,29
Ben Foster\Ben-Foster,GK,38,0,0.1,225,0,0,0
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,1.5,0.1,0.1,9,0,1,1
Dimitri Foulquier\Dimitri-Foulquier,MFDF,0.7,0,0,4,0,1,1
Juan Foyth\Juan-Foyth,DF,0.8,0,0,11,0,7,4
Simon Francis\Simon-Francis,DF,10.8,0.3,0.2,118,4,17,12
Ryan Fraser\Ryan-Fraser,MFFW,23,4.1,3.2,139,7,9,8
Fred\Fred,MF,24,2.5,1.9,326,3,79,51
Ryan Fredericks\Ryan-Fredericks,DF,24.9,2.4,0.2,200,15,86,48
Kieron Freeman\Kieron-Freeman,FW,0.1,0,0,1,0,0,0
Luke Freeman\Luke-Freeman,MF,4.1,0.3,0.1,36,3,5,4
Christian Fuchs\Christian-Fuchs,DF,8.6,0.1,0.2,79,2,15,9
Eric García\Eric-Garcia,DF,8.8,0.2,0.6,65,1,11,4
James Garner\James-Garner,MF,0.1,0,0,2,0,0,0
Dwight Gayle\Dwight-Gayle,FW,9.4,0.8,4.5,25,1,13,10
Paulo Gazzaniga\Paulo-Gazzaniga,GK,17.9,0.3,0,80,0,0,0
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,MF,1.5,0,0,15,0,5,4
David de Gea\David-de-Gea,GK,38,0,0,145,0,0,0
Anwar El Ghazi\Anwar-El-Ghazi,FWMF,22.8,2.8,5.8,122,15,17,10
Morgan Gibbs-White\Morgan-Gibbs-White,MFFW,1.4,0.1,0.1,13,0,1,1
Billy Gilmour\Billy-Gilmour,MF,2.2,0.1,0,31,0,6,4
Olivier Giroud\Olivier-Giroud,FW,11,1.3,6.7,47,0,4,3
Ben Godfrey\Ben-Godfrey,DF,29.4,0.1,0.8,275,0,34,22
André Gomes\Andre-Gomes,MF,16.2,0.8,0.2,171,3,32,24
Angel Gomes\Angel-Gomes,MF,0.2,0.1,0,0,0,0,0
Joe Gomez\Joe-Gomez,DF,22.3,0.2,0,351,2,26,15
Anthony Gordon\Anthony-Gordon,MFFW,4.9,0.4,0.3,23,0,8,6
Dan Gosling\Dan-Gosling,MF,14,1.1,2.1,130,2,28,20
Andre Gray\Andre-Gray,FW,8.4,1.6,2.9,38,1,5,5
Demarai Gray\Demarai-Gray,MFFW,6.9,1.6,2.5,63,4,8,5
