,,Tackles,Tackles,Blocks,,,
Player,Squad,Tkl,TklW,Blocks,Int,Clr,Err
Dan Gosling\Dan-Gosling,Bournemouth,45,25,37,22,38,1
Karlan Grant\Karlan-Grant,Huddersfield,2,1,9,1,2,0
Andre Gray\Andre-Gray,Watford,3,3,5,2,3,0
Demarai Gray\Demarai-Gray,Leicester City,19,13,26,9,12,0
Mason Greenwood\Mason-Greenwood,Manchester Utd,3,1,2,0,1,0
Pascal Groß\Pascal-Gross,Brighton,24,15,33,15,22,0
Vicente Guaita\Vicente-Guaita,Crystal Palace,0,0,1,0,2,1
Mattéo Guendouzi\Matteo-Guendouzi,Arsenal,36,25,37,27,28,1
?lkay Gündo?an\Ilkay-Gundogan,Manchester City,17,10,30,29,23,0
Angus Gunn\Angus-Gunn,Southampton,0,0,0,0,1,1
Aron Gunnarsson\Aron-Gunnarsson,Cardiff City,63,48,49,38,47,1
Florent Hadergjonaj\Florent-Hadergjonaj,Huddersfield,30,11,46,22,30,2
Ben Hamer\Ben-Hamer,Huddersfield,0,0,0,1,0,0
Kadeem Harris\Kadeem-Harris,Cardiff City,7,2,3,3,3,0
Joe Hart\Joe-Hart,Burnley,0,0,0,0,0,0
Isaac Hayden\Isaac-Hayden,Newcastle Utd,66,43,46,38,42,1
Eden Hazard\Eden-Hazard,Chelsea,8,6,14,10,1,0
Rhys Healey\Rhys-Healey,Cardiff City,1,0,0,0,0,0
Tom Heaton\Tom-Heaton,Burnley,0,0,0,0,1,1
Jordan Henderson\Jordan-Henderson,Liverpool,44,37,42,32,22,0
Jeff Hendrick\Jeff-Hendrick,Burnley,36,25,29,13,26,0
Wayne Hennessey\Wayne-Hennessey,Crystal Palace,0,0,0,0,0,0
Javier Hernández\Javier-Hernandez,West Ham,3,2,5,2,8,0
Ander Herrera\Ander-Herrera,Manchester Utd,54,37,38,39,24,0
Son Heung-min\Son-Heung-min,Tottenham,18,7,27,8,5,0
Gonzalo Higuaín\Gonzalo-Higuain,Chelsea,6,5,6,1,4,0
Wesley Hoedt\Wesley-Hoedt,Southampton,26,11,23,23,62,0
Jonathan Hogg\Jonathan-Hogg,Huddersfield,83,60,57,69,23,0
Junior Hoilett\Junior-Hoilett,Cardiff City,42,24,42,29,22,0
Rob Holding\Rob-Holding,Arsenal,14,10,19,10,32,0
José Holebas\Jose-Holebas,Watford,68,45,48,19,82,0
Mason Holgate\Mason-Holgate,Everton,5,2,5,3,19,0
Callum Hudson-Odoi\Callum-Hudson-Odoi,Chelsea,8,6,2,3,0,0
Will Hughes\Will-Hughes,Watford,71,42,71,25,26,0
Emerson Hyndman\Emerson-Hyndman,Bournemouth,4,2,1,1,0,0
Pierre Højbjerg\Pierre-Hojbjerg,Southampton,80,64,60,64,30,1
Jordon Ibe\Jordon-Ibe,Bournemouth,4,3,3,4,5,0
Vicente Iborra\Vicente-Iborra,Leicester City,5,4,3,5,4,0
Kelechi Iheanacho\Kelechi-Iheanacho,Leicester City,8,6,6,2,2,0
Danny Ings\Danny-Ings,Southampton,26,16,20,4,8,1
Alex Iwobi\Alex-Iwobi,Arsenal,23,17,27,12,4,0
José Izquierdo\Jose-Izquierdo,Brighton,18,8,10,5,9,0
Phil Jagielka\Phil-Jagielka,Everton,8,5,7,2,23,0
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,Brighton,39,24,12,11,7,0
Daryl Janmaat\Daryl-Janmaat,Watford,33,16,35,30,58,0
Vincent Janssen\Vincent-Janssen,Tottenham,1,0,0,0,0,0
Carl Jenkinson\Carl-Jenkinson,Arsenal,4,3,3,0,2,0
Gabriel Jesus\Gabriel-Jesus,Manchester City,9,6,14,2,2,0
Raúl Jiménez\Raul-Jimenez,Wolves,26,17,23,27,40,0
Stefan Johansen\Stefan-Johansen,Fulham,8,5,9,3,4,0
Ben Johnson\Ben-Johnson,West Ham,1,1,3,1,1,0
Tyreke Johnson\Tyreke-Johnson,Southampton,0,0,0,0,0,0
Phil Jones\Phil-Jones,Manchester Utd,26,18,26,22,86,1
Jorginho\Jorginho,Chelsea,75,55,55,67,28,0
Joselu\Joselu,Newcastle Utd,10,7,7,3,14,0
Diogo Jota\Diogo-Jota,Wolves,29,19,22,14,9,0
Mathias Jørgensen\Mathias-Jorgensen,Huddersfield,45,22,39,64,112,0
Christian Kabasele\Christian-Kabasele,Watford,30,18,38,37,93,1
Elias Kachunga\Elias-Kachunga,Huddersfield,22,9,15,4,13,0
Aboubakar Kamara\Aboubakar-Kamara,Fulham,10,8,12,1,5,0
Harry Kane\Harry-Kane,Tottenham,11,7,18,1,13,0
N'Golo Kanté\NGolo-Kante,Chelsea,78,61,72,45,26,0
Beram Kayal\Beram-Kayal,Brighton,33,27,23,16,28,0
Michael Keane\Michael-Keane,Everton,37,27,53,47,222,3
Neeskens Kebano\Neeskens-Kebano,Fulham,3,2,3,0,3,0
Naby Keïta\Naby-Keita,Liverpool,39,20,36,13,13,0
Martin Kelly\Martin-Kelly,Crystal Palace,21,14,25,11,103,3
Kenedy\Kenedy,Newcastle Utd,33,23,31,30,20,0
Jonjoe Kenny\Jonjoe-Kenny,Everton,22,12,20,16,25,0
Max Kilman\Max-Kilman,Wolves,0,0,0,0,0,0
Joshua King\Joshua-King,Bournemouth,32,25,45,6,12,0
Anthony Knockaert\Anthony-Knockaert,Brighton,28,17,24,29,10,0
Sead Kolašinac\Sead-Kolasinac,Arsenal,32,18,18,22,40,2
Vincent Kompany\Vincent-Kompany,Manchester City,13,9,14,15,61,0
Terence Kongolo\Terence-Kongolo,Huddersfield,83,45,57,66,103,0
Laurent Koscielny\Laurent-Koscielny,Arsenal,19,10,27,29,95,1
Cheikhou Kouyaté\Cheikhou-Kouyate,Crystal Palace,54,34,46,17,43,1
Mateo Kova?i?\Mateo-Kovacic,Chelsea,49,34,18,9,14,0
Rajiv van La Parra\Rajiv-van-La-Parra,Huddersfield,8,6,3,4,0,0
Alexandre Lacazette\Alexandre-Lacazette,Arsenal,35,28,30,15,22,0
Adam Lallana\Adam-Lallana,Liverpool,16,11,16,3,4,0
Érik Lamela\Erik-Lamela,Tottenham,21,15,15,8,2,0
Manuel Lanzini\Manuel-Lanzini,West Ham,10,9,7,7,3,0
Aymeric Laporte\Aymeric-Laporte,Manchester City,44,27,29,38,124,0
Jamaal Lascelles\Jamaal-Lascelles,Newcastle Utd,35,16,65,39,199,1
Maxime Le Marchand\Maxime-Le-Marchand,Fulham,58,30,48,55,138,1
Florian Lejeune\Florian-Lejeune,Newcastle Utd,29,14,29,20,58,1
Mario Lemina\Mario-Lemina,Southampton,51,40,25,42,23,0
Aaron Lennon\Aaron-Lennon,Burnley,33,20,29,8,8,0
Bernd Leno\Bernd-Leno,Arsenal,0,0,0,3,0,2
Jefferson Lerma\Jefferson-Lerma,Bournemouth,46,35,51,55,84,0
Stephan Lichtsteiner\Stephan-Lichtsteiner,Arsenal,12,5,19,8,29,1
Victor Lindelöf\Victor-Lindelof,Manchester Utd,34,21,35,24,139,0
Jesse Lingard\Jesse-Lingard,Manchester Utd,20,10,23,10,6,0
Fernando Llorente\Fernando-Llorente,Tottenham,4,3,8,2,14,0
Hugo Lloris\Hugo-Lloris,Tottenham,0,0,0,3,2,0
Jürgen Locadia\Jurgen-Locadia,Brighton,22,14,16,9,11,0
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,Chelsea,18,15,17,13,6,0
Kevin Long\Kevin-Long,Burnley,21,13,12,6,27,0
Shane Long\Shane-Long,Southampton,11,5,13,5,16,0
Sean Longstaff\Sean-Longstaff,Newcastle Utd,25,19,19,8,12,0
Ademola Lookman\Ademola-Lookman,Everton,15,8,11,8,2,0
Jonas Lössl\Jonas-Lossl,Huddersfield,0,0,1,1,2,1
Dejan Lovren\Dejan-Lovren,Liverpool,17,10,18,10,70,3
Chris Löwe\Chris-Lowe,Huddersfield,38,10,39,19,52,0
Matthew Lowton\Matthew-Lowton,Burnley,58,34,50,26,73,0
David Luiz\David-Luiz,Chelsea,52,34,45,36,139,0
Romelu Lukaku\Romelu-Lukaku,Manchester Utd,11,8,12,2,23,0
James Maddison\James-Maddison,Leicester City,59,34,31,13,6,0
Gary Madine\Gary-Madine,Cardiff City,1,1,0,0,0,0
Harry Maguire\Harry-Maguire,Leicester City,33,19,49,36,152,1
Riyad Mahrez\Riyad-Mahrez,Manchester City,14,10,20,9,5,0
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,Arsenal,35,23,29,19,18,0
Sadio Mané\Sadio-Mane,Liverpool,46,31,36,16,6,0
Javier Manquillo\Javier-Manquillo,Newcastle Utd,33,15,28,16,34,0
Solly March\Solly-March,Brighton,47,24,63,28,24,0
Adrian Mariappa\Adrian-Mariappa,Watford,40,14,28,25,134,2
Lazar Markovi?\Lazar-Markovic,Fulham,0,0,0,1,1,0
Anthony Martial\Anthony-Martial,Manchester Utd,19,16,18,3,6,0
Adam Masina\Adam-Masina,Watford,26,14,27,16,34,0
Arthur Masuaku\Arthur-Masuaku,West Ham,53,36,48,36,53,0
Juan Mata\Juan-Mata,Manchester Utd,6,3,13,6,7,0
Nemanja Mati?\Nemanja-Matic,Manchester Utd,49,29,55,31,67,0
Joël Matip\Joel-Matip,Liverpool,32,23,17,31,89,2
Konstantinos Mavropanos\Konstantinos-Mavropanos,Arsenal,4,2,1,5,7,0
Alfie Mawson\Alfie-Mawson,Fulham,11,6,24,19,76,2
Isaac Mbenza\Isaac-Mbenza,Huddersfield,14,7,6,6,3,0
James McArthur\James-McArthur,Crystal Palace,89,56,95,43,40,0
Alex McCarthy\Alex-McCarthy,Southampton,0,0,0,0,0,1
James McCarthy\James-McCarthy,Everton,1,0,1,1,0,0
Kevin McDonald\Kevin-McDonald,Fulham,10,10,9,11,16,0
Dwight McNeil\Dwight-McNeil,Burnley,25,11,35,14,30,0
Scott McTominay\Scott-McTominay,Manchester Utd,16,13,12,14,21,0
Ben Mee\Ben-Mee,Burnley,54,24,83,44,279,6
Nathaniel Mendez-Laing\Nathaniel-Mendez-Laing,Cardiff City,35,23,31,11,16,0
Benjamin Mendy\Benjamin-Mendy,Manchester City,15,8,16,10,14,1
Nampalys Mendy\Nampalys-Mendy,Leicester City,40,23,40,27,22,0
Chris Mepham\Chris-Mepham,Bournemouth,10,4,18,15,64,1
Max Meyer\Max-Meyer,Crystal Palace,34,16,17,17,15,0
Luka Milivojevi?\Luka-Milivojevic,Crystal Palace,93,67,80,72,75,2
James Milner\James-Milner,Liverpool,44,26,50,16,19,1
Yerry Mina\Yerry-Mina,Everton,17,12,16,7,61,0
Tyrone Mings\Tyrone-Mings,Bournemouth,3,2,3,7,7,0
Aleksandar Mitrovi?\Aleksandar-Mitrovic,Fulham,16,10,36,8,49,0
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,Arsenal,28,18,32,17,11,0
Nacho Monreal\Nacho-Monreal,Arsenal,36,27,37,28,81,0
Martín Montoya\Martin-Montoya,Brighton,56,26,46,49,62,1
Aaron Mooy\Aaron-Mooy,Huddersfield,66,43,50,16,24,0
Álvaro Morata\Alvaro-Morata,Chelsea,9,6,6,0,7,0
Alberto Moreno\Alberto-Moreno,Liverpool,4,2,2,1,1,0
Wes Morgan\Wes-Morgan,Leicester City,29,16,41,29,110,3
Sean Morrison\Sean-Morrison,Cardiff City,45,30,59,54,198,3
Victor Moses\Victor-Moses,Chelsea,0,0,1,0,0,0
Steve Mounié\Steve-Mounie,Huddersfield,14,8,16,5,14,1
Lucas Moura\Lucas-Moura,Tottenham,33,23,19,24,24,0
Lys Mousset\Lys-Mousset,Bournemouth,5,4,4,1,2,0
João Moutinho\Joao-Moutinho,Wolves,99,65,71,38,43,1
Jacob Murphy\Jacob-Murphy,Newcastle Utd,6,4,6,2,4,0
Josh Murphy\Josh-Murphy,Cardiff City,25,9,38,12,9,0
Glenn Murray\Glenn-Murray,Brighton,14,7,32,2,15,0
Shkodran Mustafi\Shkodran-Mustafi,Arsenal,63,36,50,59,190,1
Yoshinori Mut?\Yoshinori-Muto,Newcastle Utd,11,7,14,5,4,0
Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,Tottenham,0,0,0,0,0,0
